Date,Dividends
1995-09-27,0.2
1995-12-27,0.26
1996-03-27,0.115
1996-06-26,0.33
1996-09-26,0.38
1996-12-27,0.368
1997-03-26,0.452
1997-06-26,0.452
1997-09-26,0.552
1997-12-29,0.538
1998-05-05,0.455
1998-08-04,0.01
1999-11-04,0.15
1999-12-29,0.25
2000-03-29,0.35
2000-06-28,0.4
2000-09-27,0.42
2000-12-27,0.44
2001-03-28,0.5
2001-06-27,0.55
2001-08-16,0.18
2001-09-26,0.57
2001-11-13,0.15
2001-12-27,0.6
2002-03-26,0.62
2002-06-26,0.755
2002-09-26,0.755
2002-12-27,0.755
2003-03-27,0.65
2003-06-26,0.65
2003-09-26,0.65
2003-11-25,4.75
2003-12-29,0.65
2004-03-29,1.17
2004-06-28,0.67
2004-09-28,0.67
2004-11-26,5.5
2004-12-29,0.67
2005-03-29,0.7
2005-06-28,0.7
2005-09-28,0.7
2005-11-22,3.0
2005-12-28,0.7
2006-03-29,0.7
2006-06-28,0.7
2006-09-27,0.7
2006-11-22,3.0
2006-12-27,0.7
2007-03-28,0.75
2007-06-27,0.75
2007-09-26,0.75
2007-11-21,2.0
2007-12-27,0.75
2008-03-27,0.75
2008-06-26,0.75
2008-09-26,0.75
2008-12-29,0.75
2009-03-27,0.25
2009-06-26,0.25
2009-09-28,0.25
2009-12-29,0.25
2010-03-29,0.25
2010-06-28,0.25
2010-09-28,0.25
2010-12-29,0.25
2011-03-29,0.25
2011-06-28,0.25
2011-09-28,0.25
2011-12-13,0.25
2012-03-13,0.25
2012-06-13,0.25
2012-09-12,0.25
2012-12-12,0.25
2013-03-13,0.28
2013-06-12,0.28
2013-09-11,0.28
2013-12-11,0.28
2014-03-12,0.28
2014-06-11,0.28
2014-09-11,0.28
2014-12-11,0.28
2015-03-13,0.28
2015-06-12,0.28
2015-09-11,0.28
2015-12-15,0.28
2016-03-14,0.28
2016-06-14,0.28
2016-09-13,0.28
2016-12-13,0.28
2017-03-14,0.28
2017-06-14,0.28
2017-09-14,0.28
2017-12-14,0.28
2018-03-14,0.28
2018-06-14,0.3
2018-09-13,0.3
2018-12-13,0.3
2019-03-14,0.3
2019-06-13,0.3
2019-09-13,0.3
2019-12-13,0.3
2020-03-13,0.32
2020-06-19,0.125
2020-09-21,0.14
2020-12-16,0.14
2021-03-23,0.16
2021-06-22,0.18
2021-09-22,0.21
2021-12-16,0.23
