,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,159493000000.0,146316000000.0,157617000000.0,163827000000.0
Capital Surplus,130112000000.0,130175000000.0,126279000000.0,125525000000.0
Total Liab,367767000000.0,346521000000.0,349735000000.0,337980000000.0
Total Stockholder Equity,166332000000.0,161673000000.0,184221000000.0,184089000000.0
Minority Interest,17523000000.0,17567000000.0,17713000000.0,9795000000.0
Deferred Long Term Liab,7396000000.0,8832000000.0,9430000000.0,9523000000.0
Other Current Liab,14111000000.0,17738000000.0,16830000000.0,19747000000.0
Total Assets,551622000000.0,525761000000.0,551669000000.0,531864000000.0
Common Stock,7621000000.0,7621000000.0,7621000000.0,7621000000.0
Other Current Assets,5154000000.0,7214000000.0,12320000000.0,12241000000.0
Retained Earnings,42350000000.0,37457000000.0,57936000000.0,58753000000.0
Other Liab,107048000000.0,107106000000.0,107711000000.0,104708000000.0
Good Will,133223000000.0,135259000000.0,146241000000.0,146370000000.0
Treasury Stock,-13751000000.0,-13580000000.0,-7615000000.0,-7810000000.0
Other Assets,40208000000.0,38369000000.0,35188000000.0,32522000000.0
Cash,21169000000.0,9740000000.0,12130000000.0,5204000000.0
Total Current Liabilities,85588000000.0,63438000000.0,68911000000.0,64420000000.0
Short Long Term Debt,13002000000.0,3281000000.0,11672000000.0,7190000000.0
Other Stockholder Equity,3529000000.0,4330000000.0,5470000000.0,4249000000.0
Property Plant Equipment,150084000000.0,152029000000.0,154167000000.0,131473000000.0
Total Current Assets,59997000000.0,52008000000.0,54761000000.0,51427000000.0
Long Term Investments,8617000000.0,1780000000.0,3695000000.0,6245000000.0
Net Tangible Assets,-126384000000.0,-119902000000.0,-119637000000.0,-126108000000.0
Short Term Investments,41000000.0,,,
Net Receivables,22378000000.0,23745000000.0,25816000000.0,29164000000.0
Long Term Debt,152386000000.0,151928000000.0,149437000000.0,166941000000.0
Inventory,3464000000.0,3695000000.0,2864000000.0,2771000000.0
Accounts Payable,30756000000.0,31836000000.0,29640000000.0,27018000000.0
